日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202203230700,4504.1,4504.7,4500.2,4502.5,4504.4,4505.4,4500.6,4502.9
202203230701,4502.5,4502.8,4501.1,4502.6,4502.9,4503.4,4501.7,4503.1
202203230702,4502.5,4503,4502.3,4502.4,4503.1,4503.5,4502.9,4503
202203230703,4502.4,4504.1,4502.4,4502.5,4503,4504.8,4503,4503.3
202203230704,4502.5,4502.8,4502,4502.5,4503.3,4503.6,4502.5,4503.3
202203230705,4502.5,4502.9,4502.5,4502.6,4503.3,4503.4,4503,4503.2
202203230706,4502.6,4502.6,4502,4502.2,4503.2,4503.2,4502.5,4502.6
202203230707,4502.1,4502.6,4500.2,4500.3,4502.5,4503.2,4500.7,4500.8
202203230708,4500.4,4500.7,4500,4500,4501,4501.5,4500.3,4500.5
202203230709,4500,4500,4499.2,4499.4,4500.5,4500.8,4499.6,4500
202203230710,4499.4,4500.3,4499,4500.2,4500,4500.9,4499.6,4500.7
202203230711,4500.2,4500.7,4500.2,4500.3,4500.8,4501.2,4500.8,4501.1
202203230712,4500.3,4500.6,4500.2,4500.6,4501.1,4501.1,4500.7,4501.1
202203230713,4500.6,4501,4500.4,4500.7,4501.1,4501.5,4501,4501.4
202203230714,4500.7,4501.6,4500.7,4501.2,4501.4,4502.1,4501.1,4501.9
202203230715,4501.3,4501.7,4501.3,4501.7,4501.9,4502.2,4501.8,4502.2
202203230716,4501.7,4501.7,4501.4,4501.7,4502.2,4502.3,4501.9,4502.2
202203230717,4501.7,4501.7,4501.4,4501.7,4502.2,4502.3,4502,4502.1
202203230718,4501.7,4503.2,4501.7,4502.8,4502.1,4503.6,4502.1,4503.4
202203230719,4502.8,4503.9,4502.8,4503.4,4503.4,4504.4,4503.3,4504
202203230720,4503.4,4504.5,4503.4,4504.2,4504,4504.8,4504,4504.8
202203230721,4504.2,4504.4,4503.9,4504,4504.8,4504.9,4504.4,4504.6
202203230722,4504,4505.5,4504,4505.2,4504.6,4506,4504.6,4505.6
202203230723,4505.2,4506.5,4505,4505,4505.6,4506.8,4505.6,4505.6
202203230724,4505,4506.1,4505,4506,4505.6,4506.6,4505.6,4506.5
202203230725,4506,4506.7,4506,4506.7,4506.5,4507.1,4506.5,4507
202203230726,4506.7,4506.7,4505.7,4505.7,4507,4507,4506.1,4506.1
202203230727,4505.7,4505.7,4504.9,4505.4,4506.1,4506.1,4505.4,4505.8
202203230728,4505.4,4505.5,4505.2,4505.5,4505.8,4506.1,4505.6,4506.1
202203230729,4505.5,4506.2,4505.4,4506.1,4506.1,4506.8,4505.8,4506.5
202203230730,4506.1,4506.2,4505.9,4506.2,4506.5,4506.7,4506.3,4506.7
202203230731,4506.2,4506.5,4506.2,4506.5,4506.7,4507.1,4506.5,4506.8
202203230732,4506.5,4506.9,4506.2,4506.9,4506.8,4507.3,4506.7,4507.2
202203230733,4506.9,4506.9,4505.7,4505.9,4507.2,4507.2,4506.1,4506.3
202203230734,4505.9,4505.9,4505.3,4505.3,4506.3,4506.3,4505.7,4505.7
202203230735,4505.3,4506.2,4505.2,4505.5,4505.7,4506.6,4505.5,4506.1
202203230736,4505.5,4506,4505.5,4506,4506.1,4506.5,4506.1,4506.4
202203230737,4506,4506.5,4505.9,4506.2,4506.4,4507,4506.4,4506.7
202203230738,4506.2,4506.8,4506.2,4506.8,4506.7,4507.1,4506.7,4507.1
202203230739,4506.8,4507.4,4506.8,4507.4,4507.1,4507.8,4507.1,4507.7
202203230740,4507.4,4508.7,4507.2,4508.7,4507.7,4509.2,4507.7,4509.1
202203230741,4508.7,4508.9,4508.4,4508.9,4509.1,4509.3,4508.8,4509.3
202203230742,4508.9,4510.2,4508.7,4510.2,4509.3,4510.6,4509,4510.5
202203230743,4510.2,4510.2,4510,4510.2,4510.5,4510.6,4510.4,4510.5
202203230744,4510.3,4511.7,4510.2,4511.7,4510.6,4512,4510.6,4512
202203230745,4511.7,4511.7,4510.4,4511,4512.1,4512.1,4510.9,4511.5
202203230746,4511,4511.3,4510.7,4511.3,4511.6,4511.8,4511.1,4511.8
202203230747,4511.3,4512.2,4511,4512.2,4511.8,4512.6,4511.5,4512.5
202203230748,4512.2,4512.2,4511,4511,4512.5,4512.6,4511.3,4511.3
202203230749,4510.9,4510.9,4509.2,4509.7,4511.2,4511.2,4509.8,4510
202203230750,4509.7,4509.7,4509.2,4509.2,4510,4510.3,4509.5,4509.6
202203230751,4509.2,4510.7,4509.2,4510.7,4509.6,4511.1,4509.6,4511.1
202203230752,4510.7,4511.2,4510.5,4510.5,4511.1,4511.6,4510.9,4510.9
202203230753,4510.5,4510.5,4509.7,4509.7,4510.9,4510.9,4510.1,4510.2
202203230754,4509.7,4509.7,4508.9,4509.6,4510.2,4510.2,4509.4,4510
202203230755,4509.7,4510.2,4509.7,4509.7,4510.1,4510.6,4510.1,4510.3
