日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202203010800,4366.9,4369.4,4366.5,4367.7,4367.2,4370.1,4367.2,4368.2
202203010801,4367.6,4369.5,4367.4,4369.4,4368.4,4370,4368.1,4369.9
202203010802,4369.3,4370.3,4366.8,4366.8,4369.9,4370.8,4367.4,4367.6
202203010803,4366.8,4368.2,4366.8,4368.1,4367.6,4368.9,4367.4,4368.7
202203010804,4368.1,4370.8,4368,4370.8,4368.7,4371.4,4368.5,4371.4
202203010805,4370.8,4372,4370.2,4371.6,4371.4,4372.6,4370.8,4372.1
202203010806,4371.6,4372,4370.9,4370.9,4372.1,4372.6,4371.3,4371.3
202203010807,4370.9,4371.3,4370.7,4371.2,4371.3,4371.9,4371.1,4371.8
202203010808,4371.2,4372,4371.2,4371.5,4371.8,4372.5,4371.8,4371.9
202203010809,4371.5,4371.5,4370.5,4370.5,4371.9,4371.9,4370.8,4370.8
202203010810,4370.5,4370.7,4369.7,4370.2,4370.8,4371.3,4370.1,4370.6
202203010811,4370.2,4370.3,4368.4,4368.5,4370.6,4370.8,4368.8,4369
202203010812,4368.5,4368.5,4367.2,4367.4,4369,4369,4367.7,4367.8
202203010813,4367.4,4369,4366.9,4368,4367.8,4369.5,4367.4,4368.5
202203010814,4368,4369.5,4367.9,4368.4,4368.5,4370,4368.5,4369
202203010815,4368.4,4373.3,4368.3,4369.7,4369,4373.8,4369,4370.2
202203010816,4369.3,4369.3,4368.2,4368.2,4369.8,4369.8,4368.7,4368.7
202203010817,4368.3,4369.8,4368.2,4369.7,4368.8,4370.4,4368.8,4370.4
202203010818,4369.7,4370,4368.3,4368.3,4370.4,4370.6,4368.8,4368.8
202203010819,4368.3,4369.3,4368.2,4369.1,4368.8,4369.8,4368.8,4369.5
202203010820,4369.1,4371.3,4368.3,4371.2,4369.5,4371.8,4368.8,4371.8
202203010821,4371.2,4373.7,4371.1,4373.7,4371.8,4374.3,4371.7,4374.3
202203010822,4373.8,4373.8,4372.1,4372.3,4374.3,4374.3,4372.7,4372.9
202203010823,4372.3,4372.5,4371.6,4371.6,4372.9,4373.1,4372.2,4372.2
202203010824,4371.6,4373,4371.6,4372.9,4372.2,4373.6,4372.2,4373.5
202203010825,4372.9,4373.5,4372.3,4372.5,4373.5,4374.1,4373,4373.1
202203010826,4372.5,4373.2,4371.7,4371.7,4373.1,4373.6,4372.5,4372.5
202203010827,4371.7,4372,4371.2,4371.2,4372.5,4372.6,4371.7,4371.7
202203010828,4371.2,4371.2,4370.7,4370.7,4371.7,4371.8,4371.3,4371.4
202203010829,4370.7,4371.7,4370.7,4371.5,4371.4,4372.1,4371.3,4372.1
202203010830,4371.7,4373.7,4371.2,4373.7,4372.2,4374.4,4371.7,4374.4
202203010831,4373.7,4376.2,4373.3,4376,4374.4,4376.8,4374.4,4376.6
202203010832,4376,4376.6,4375.3,4375.7,4376.6,4377,4375.8,4376.3
202203010833,4375.6,4376.4,4375.6,4376.2,4376.3,4377,4376.2,4376.9
202203010834,4376.2,4376.2,4375.7,4375.9,4376.8,4376.9,4376.1,4376.5
202203010835,4375.9,4378.6,4375.9,4378.4,4376.5,4379,4376.5,4379
202203010836,4378.4,4379,4376.9,4376.9,4379,4379.5,4377.3,4377.5
202203010837,4376.9,4378.9,4376.3,4378.6,4377.5,4379.4,4376.8,4379.2
202203010838,4378.6,4378.6,4377.9,4377.9,4379.2,4379.2,4378.4,4378.5
202203010839,4377.9,4378.1,4377.2,4377.4,4378.5,4378.8,4377.7,4378.1
202203010840,4377.4,4377.6,4377.1,4377.3,4378.1,4378.2,4377.6,4377.8
202203010841,4377.3,4377.3,4375.2,4376.4,4377.8,4377.8,4375.7,4377.1
202203010842,4376.4,4376.5,4375.8,4375.8,4377.1,4377.1,4376.3,4376.4
202203010843,4375.8,4376,4375.2,4375.8,4376.4,4376.8,4375.7,4376.4
202203010844,4375.8,4376,4375.6,4375.6,4376.4,4376.6,4376,4376
202203010845,4375.6,4375.6,4374.2,4374.8,4376,4376.1,4374.8,4375.4
202203010846,4374.8,4376.7,4374.7,4376.4,4375.3,4377.3,4375.1,4376.8
202203010847,4376.4,4376.4,4375.4,4375.4,4376.8,4376.8,4375.8,4376
202203010848,4375.4,4376.9,4375.4,4376,4376,4377.5,4376,4376.6
202203010849,4376,4376.5,4375.7,4376,4376.6,4377,4376.2,4376.6
202203010850,4376,4376.9,4376,4376.6,4376.6,4377.5,4376.6,4377.2
202203010851,4376.6,4377.3,4376.4,4377,4377.2,4377.9,4377,4377.6
202203010852,4377,4377.3,4376.9,4377.1,4377.6,4378,4377.5,4377.7
202203010853,4377.1,4381.7,4377.1,4381.7,4377.7,4382,4377.7,4382
202203010854,4381.7,4381.7,4380.2,4380.4,4382,4382,4380.7,4381
202203010855,4380.4,4380.7,4379.5,4379.9,4381,4381.1,4380,4380.5
202203010856,4380,4380,4379.2,4379.7,4380.5,4380.6,4379.7,4380.2
202203010857,4379.7,4381,4379.1,4380.2,4380.2,4381.6,4379.7,4380.9
202203010858,4380.2,4380.9,4379.7,4380.7,4380.9,4381.5,4380,4381.3
202203010859,4380.7,4380.7,4377,4377.2,4381.3,4381.3,4377.5,4377.7
202203010900,4377,4380.3,4377,4379.4,4377.6,4380.8,4377.6,4379.8
202203010901,4379.4,4380.2,4377.3,4378.4,4379.8,4380.7,4377.8,4379
202203010902,4378.3,4379.3,4378.3,4378.8,4378.9,4379.8,4378.9,4379.3
202203010903,4378.8,4379.8,4377.9,4378.4,4379.3,4380.3,4378.5,4378.8
202203010904,4378.4,4378.4,4377.2,4377.3,4378.8,4378.9,4377.7,4377.8
202203010905,4377.2,4377.5,4374.6,4374.7,4377.7,4378.1,4375.1,4375.1
202203010906,4374.7,4376.2,4373.2,4373.2,4375.1,4376.6,4373.6,4373.6
202203010907,4373.2,4374.2,4372.7,4372.7,4373.6,4374.7,4373.3,4373.3
202203010908,4372.7,4374,4372.2,4373.9,4373.3,4374.6,4372.7,4374.3
202203010909,4373.9,4374.1,4371.9,4372.4,4374.3,4374.7,4372.3,4372.9
202203010910,4372.4,4373,4372.1,4372.6,4372.9,4373.6,4372.6,4373.2
202203010911,4372.7,4374.3,4372.4,4373.6,4373.2,4374.8,4373,4374.1
202203010912,4373.6,4375,4372.9,4373.4,4374.1,4375.5,4373.5,4373.9
202203010913,4373.3,4374.2,4372.5,4374.1,4373.9,4374.8,4373,4374.8
202203010914,4374.1,4375.6,4374.1,4374.9,4374.8,4376,4374.7,4375.5
202203010915,4375.2,4378.6,4375,4378,4375.6,4379.1,4375.6,4378.6
202203010916,4378,4378.7,4376.5,4376.9,4378.6,4379.1,4377.1,4377.4
202203010917,4377,4378.3,4376.1,4378.3,4377.6,4378.8,4376.7,4378.8
202203010918,4378.3,4378.3,4377.5,4377.5,4378.8,4378.8,4378.2,4378.3
202203010919,4377.5,4378,4375.8,4377,4378.3,4378.6,4376.4,4377.6
202203010920,4377,4377.4,4375.7,4376.2,4377.6,4378,4376.4,4376.6
202203010921,4376.2,4377,4375.4,4376.1,4376.6,4377.6,4375.9,4376.7
202203010922,4376.1,4377.2,4376.1,4376.4,4376.7,4377.6,4376.7,4377.1
202203010923,4376.4,4376.4,4373.6,4374.8,4377.1,4377.1,4374,4375.4
202203010924,4374.8,4375.4,4374.3,4374.9,4375.3,4375.9,4374.9,4375.6
202203010925,4374.9,4375.5,4374.4,4374.8,4375.6,4376.1,4375,4375.4
202203010926,4374.8,4376.4,4374.6,4376,4375.4,4377.1,4375.1,4376.6
202203010927,4376.2,4376.7,4375.7,4376.4,4376.6,4377.3,4376.2,4376.8
202203010928,4376.4,4376.8,4375.4,4375.9,4376.8,4377.3,4376,4376.3
202203010929,4375.9,4376.5,4375.9,4376.5,4376.3,4377.1,4376.3,4377.1
202203010930,4376.5,4377.4,4374.2,4374.3,4377.1,4377.9,4374.6,4374.9
202203010931,4374.3,4374.4,4373.4,4374.2,4374.9,4374.9,4373.9,4374.6
202203010932,4374.2,4374.8,4373.6,4374,4374.6,4375.4,4374.1,4374.6
202203010933,4374,4375.2,4373.5,4373.5,4374.7,4375.6,4374.1,4374.2
202203010934,4373.5,4374.3,4373.2,4374.3,4374.2,4374.9,4373.8,4374.9
202203010935,4374.3,4374.7,4373.5,4374,4374.9,4375.2,4374,4374.6
202203010936,4373.8,4373.9,4373.2,4373.2,4374.4,4374.4,4373.6,4373.6
202203010937,4373.2,4373.4,4372.7,4373.4,4373.6,4373.9,4373.1,4373.8
202203010938,4373.4,4375.2,4373,4373.9,4373.8,4375.6,4373.6,4374.5
202203010939,4373.8,4374.4,4372.4,4373,4374.3,4374.8,4373,4373.7
202203010940,4373,4374.1,4373,4374,4373.7,4374.5,4373.6,4374.5
202203010941,4374,4375.4,4373.8,4374.4,4374.5,4376,4374.3,4375
202203010942,4374.4,4374.9,4373.9,4374.5,4375,4375.3,4374.6,4375.1
202203010943,4374.5,4374.5,4371.2,4371.2,4375.1,4375.1,4371.6,4371.6
202203010944,4371.2,4372.4,4371.2,4371.9,4371.6,4372.9,4371.6,4372.4
202203010945,4371.9,4372.5,4370.5,4370.9,4372.4,4372.8,4371,4371.6
