日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202208230700,4146.9,4147.2,4143.7,4144.3,4147.2,4147.7,4144,4144.9
202208230701,4144.3,4145,4143.8,4144.5,4144.9,4145.5,4144.4,4145.1
202208230702,4144.5,4144.7,4143.7,4144.2,4145.1,4145.1,4144.2,4144.8
202208230703,4144.2,4145.1,4144,4144.9,4144.8,4145.6,4144.4,4145.5
202208230704,4144.9,4145.1,4144.6,4144.6,4145.5,4145.7,4145,4145
202208230705,4144.6,4145.4,4144.4,4145.4,4145,4145.9,4144.7,4145.9
202208230706,4145.3,4145.5,4145.1,4145.3,4145.8,4146,4145.7,4145.9
202208230707,4145.3,4145.5,4144.9,4145.5,4145.9,4146.1,4145.3,4146.1
202208230708,4145.5,4146.5,4145.3,4146.5,4146.1,4147.1,4146,4146.8
202208230709,4146.5,4147,4146.4,4147,4146.8,4147.4,4146.8,4147.3
202208230710,4147,4147,4146.2,4146.5,4147.3,4147.3,4146.6,4147.1
202208230711,4146.7,4146.7,4146,4146,4147.2,4147.2,4146.7,4146.7
202208230712,4146,4146.7,4146,4146.6,4146.7,4147.1,4146.7,4147.1
202208230713,4146.6,4146.9,4146.4,4146.6,4147.1,4147.4,4146.8,4147
202208230714,4146.6,4146.7,4146.4,4146.4,4147,4147.1,4147,4147
202208230715,4146.4,4146.7,4146.3,4146.7,4147,4147.1,4146.9,4147.1
202208230716,4146.7,4146.7,4146.2,4146.4,4147.1,4147.2,4146.5,4146.8
202208230717,4146.4,4146.5,4145.4,4145.4,4146.8,4146.9,4146,4146
202208230718,4145.4,4145.9,4145.4,4145.9,4146,4146.4,4146,4146.3
202208230719,4145.9,4145.9,4145.2,4145.4,4146.3,4146.3,4145.6,4145.8
202208230720,4145.4,4146.2,4145.2,4145.3,4145.8,4146.7,4145.8,4145.9
202208230721,4145.3,4145.7,4145.1,4145.7,4145.9,4146.1,4145.5,4146.1
202208230722,4145.7,4145.7,4145,4145.7,4146.1,4146.2,4145.6,4146.2
202208230723,4145.7,4146,4145.7,4145.9,4146.2,4146.5,4146.1,4146.5
202208230724,4145.9,4146.2,4145.9,4146.2,4146.5,4146.6,4146.3,4146.5
202208230725,4146.2,4146.7,4146.2,4146.4,4146.5,4147.1,4146.5,4147
202208230726,4146.4,4146.9,4146.4,4146.8,4147,4147.3,4146.8,4147.2
202208230727,4146.9,4147.2,4146.9,4147.2,4147.3,4147.6,4147.2,4147.6
202208230728,4147.2,4147.2,4146.4,4146.4,4147.6,4147.6,4146.8,4146.8
202208230729,4146.4,4147,4146.4,4146.4,4146.8,4147.3,4146.8,4146.8
202208230730,4146.4,4146.7,4146.4,4146.7,4146.8,4147.3,4146.7,4147
202208230731,4146.7,4146.9,4146.2,4146.8,4147,4147.3,4146.6,4147.2
202208230732,4146.8,4147,4146.3,4146.9,4147.2,4147.5,4146.8,4147.4
202208230733,4146.9,4147.9,4146.9,4147.6,4147.4,4148.3,4147.4,4148
202208230734,4147.6,4147.9,4147.5,4147.7,4148,4148.3,4147.8,4148.3
202208230735,4147.7,4148.7,4147.7,4148.4,4148.3,4149.1,4148.2,4148.8
202208230736,4148.4,4148.5,4148.2,4148.4,4148.8,4149,4148.6,4149
202208230737,4148.4,4148.9,4148.4,4148.9,4149,4149.3,4148.9,4149.3
202208230738,4148.7,4149,4148.4,4149,4149,4149.3,4148.8,4149.3
202208230739,4149,4149,4148.6,4148.6,4149.3,4149.3,4149,4149.2
202208230740,4148.6,4149.2,4148.1,4148.2,4149.2,4149.5,4148.7,4148.9
202208230741,4148.3,4148.5,4148.2,4148.4,4148.8,4149.1,4148.7,4148.8
202208230742,4148.4,4148.9,4148.4,4148.9,4148.8,4149.3,4148.8,4149.3
202208230743,4148.8,4149,4148.7,4149,4149.2,4149.3,4149.1,4149.3
202208230744,4149,4149.2,4148.9,4149.2,4149.3,4149.6,4149.3,4149.5
202208230745,4149.2,4149.5,4148.7,4149.2,4149.5,4150,4149,4149.6
202208230746,4149.2,4149.5,4149,4149,4149.6,4150,4149.3,4149.5
202208230747,4149,4149.5,4149,4149,4149.3,4149.9,4149.3,4149.3
202208230748,4148.9,4149.4,4148.4,4149.2,4149.2,4149.8,4148.9,4149.8
202208230749,4149.2,4149.5,4148.9,4149.4,4149.8,4150,4149.3,4149.8
202208230750,4149.5,4150.2,4149.2,4149.4,4149.9,4150.5,4149.6,4149.8
202208230751,4149.4,4149.5,4149,4149,4149.8,4149.9,4149.4,4149.4
202208230752,4148.9,4149,4148.7,4148.8,4149.3,4149.5,4149.1,4149.1
202208230753,4148.8,4148.9,4148.5,4148.8,4149.1,4149.3,4148.8,4149.3
202208230754,4148.7,4149.1,4148.7,4149,4149.2,4149.5,4149.2,4149.4
202208230755,4149,4149,4148.7,4148.7,4149.4,4149.5,4149.1,4149.1
202208230756,4148.7,4148.8,4148.5,4148.8,4149.1,4149.3,4149,4149.3
202208230757,4148.8,4148.8,4148.6,4148.7,4149.3,4149.3,4149,4149.2
202208230758,4148.7,4149.2,4148.7,4148.7,4149.2,4149.5,4149.1,4149.1
202208230759,4148.7,4148.7,4148.7,4148.7,4149.1,4149.3,4149,4149.1
202208230800,4148.7,4148.7,4147.9,4147.9,4149.1,4149.2,4148.4,4148.4
202208230801,4147.9,4148.2,4147.9,4147.9,4148.5,4148.6,4148.2,4148.5
202208230802,4147.9,4148.4,4147.9,4148.3,4148.5,4148.8,4148.3,4148.8
202208230803,4148.3,4149,4148.3,4149,4148.8,4149.4,4148.8,4149.4
202208230804,4149,4149,4148.7,4149,4149.4,4149.5,4149.1,4149.3
202208230805,4149,4149.2,4148.7,4149.2,4149.3,4149.5,4149.1,4149.5
202208230806,4149.2,4149.5,4148.9,4148.9,4149.5,4150,4149.5,4149.5
202208230807,4148.9,4149,4148.5,4148.5,4149.5,4149.5,4149,4149.2
202208230808,4148.5,4149.1,4148.5,4148.9,4149.2,4149.5,4149.1,4149.3
202208230809,4148.9,4149,4148.9,4148.9,4149.3,4149.5,4149.3,4149.3
202208230810,4148.9,4149.7,4148.9,4149.4,4149.3,4150.1,4149.3,4149.7
202208230811,4149.4,4149.5,4149.2,4149.4,4149.7,4149.8,4149.7,4149.8
202208230812,4149.4,4150.2,4149.4,4149.7,4149.8,4150.7,4149.7,4150.1
202208230813,4149.7,4149.7,4149.4,4149.5,4150.1,4150.1,4149.8,4149.8
202208230814,4149.4,4150,4149.4,4149.9,4149.7,4150.6,4149.7,4150.3
202208230815,4150,4150.2,4149.9,4149.9,4150.4,4150.7,4150.3,4150.3
202208230816,4149.9,4150,4149.7,4150,4150.3,4150.3,4150.1,4150.3
202208230817,4150,4150.4,4150,4150.4,4150.3,4150.8,4150.3,4150.8
202208230818,4150.4,4150.4,4150.2,4150.2,4150.8,4150.8,4150.6,4150.6
202208230819,4150.2,4150.4,4149.7,4150,4150.6,4150.8,4150.2,4150.4
202208230820,4150,4150.2,4149.9,4150,4150.4,4150.8,4150.3,4150.4
202208230821,4149.9,4150,4149.9,4150,4150.3,4150.5,4150.3,4150.4
202208230822,4150,4150.1,4149.7,4149.7,4150.4,4150.6,4150,4150
202208230823,4149.7,4150.4,4149.7,4150.4,4150,4150.8,4150,4150.8
202208230824,4150.4,4150.5,4150.2,4150.5,4150.8,4150.9,4150.7,4150.8
202208230825,4150.5,4150.5,4149.5,4149.5,4150.8,4150.8,4149.8,4149.9
202208230826,4149.5,4149.5,4148.6,4148.7,4149.9,4150,4149,4149.3
