日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202102170800,3928.9,3929.5,3928.7,3929.1,3929.2,3930,3929.1,3929.4
202102170801,3929,3930.4,3928.5,3930,3929.3,3930.8,3929.2,3930.7
202102170802,3930,3930.5,3929.7,3929.8,3930.7,3930.8,3930.1,3930.3
202102170803,3929.8,3930.2,3929.5,3930.2,3930.3,3930.8,3930,3930.6
202102170804,3930.2,3930.4,3930,3930.2,3930.6,3930.8,3930.4,3930.6
202102170805,3930.2,3930.7,3930.2,3930.2,3930.6,3931.3,3930.5,3930.5
202102170806,3930.1,3930.2,3929.2,3929.2,3930.5,3930.8,3929.5,3929.6
202102170807,3929.2,3929.5,3927.7,3928.1,3929.6,3930,3928.1,3928.5
202102170808,3928.1,3928.1,3927.2,3927.4,3928.5,3928.5,3927.5,3927.8
202102170809,3927.4,3927.4,3924.6,3925.2,3927.8,3928,3925,3925.5
202102170810,3925.2,3926.1,3925.2,3925.7,3925.5,3926.6,3925.5,3926.3
202102170811,3925.7,3926.5,3925.7,3926.5,3926.3,3926.9,3926.3,3926.9
202102170812,3926.5,3926.5,3923.8,3924.1,3926.9,3926.9,3924.3,3924.5
202102170813,3924.1,3925.7,3924.1,3925.2,3924.5,3926,3924.5,3925.7
202102170814,3925.2,3925.7,3923.2,3924.7,3925.7,3926,3923.7,3925
202102170815,3924.7,3925.2,3924.4,3924.8,3925,3925.6,3924.8,3925.1
202102170816,3924.7,3926,3924.7,3926,3925,3926.3,3925,3926.3
202102170817,3926,3926.2,3925.7,3925.9,3926.3,3926.6,3926,3926.4
202102170818,3925.9,3926.5,3925.7,3926.5,3926.4,3926.8,3926.1,3926.8
202102170819,3926.5,3926.5,3925.5,3926,3926.8,3926.9,3926,3926.4
202102170820,3926,3927,3926,3927,3926.4,3927.3,3926.4,3927.3
202102170821,3927,3927,3926.2,3926.8,3927.3,3927.3,3926.5,3927.1
202102170822,3926.8,3927.6,3926.7,3927.2,3927.1,3928.1,3927,3927.5
202102170823,3927.2,3927.5,3926.7,3927,3927.5,3928.1,3927.1,3927.4
202102170824,3927,3927,3926,3926,3927.4,3927.4,3926.3,3926.3
202102170825,3926,3927.5,3926,3926.9,3926.3,3928,3926.3,3927.3
