日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202102110800,3907.1,3908.3,3906.4,3906.7,3907.4,3908.9,3906.9,3907.1
202102110801,3906.5,3906.5,3904.7,3904.8,3906.9,3907.1,3905.2,3905.2
202102110802,3904.8,3905.1,3904.4,3904.6,3905.2,3905.6,3904.9,3905.1
202102110803,3904.5,3905,3904.4,3904.9,3905.1,3905.5,3905,3905.4
202102110804,3904.9,3905.2,3904.9,3905.1,3905.4,3905.6,3905.3,3905.5
202102110805,3905.2,3905.7,3904.6,3904.7,3905.6,3906.1,3905,3905.2
202102110806,3904.6,3904.7,3904.5,3904.7,3905.1,3905.2,3905,3905.1
202102110807,3904.7,3905,3904.4,3905,3905.1,3905.6,3904.9,3905.4
202102110808,3905,3905,3904.4,3904.7,3905.4,3905.5,3904.8,3905.1
202102110809,3904.7,3905.7,3904.5,3905.2,3905.1,3906.2,3905,3905.8
202102110810,3905.2,3905.6,3905.2,3905.5,3905.8,3906.1,3905.8,3905.8
202102110811,3905.5,3905.5,3904.9,3905.1,3905.8,3906.1,3905.4,3905.5
202102110812,3905.1,3905.3,3904.9,3905.2,3905.5,3905.6,3905.3,3905.6
202102110813,3905.2,3905.4,3905,3905.2,3905.6,3905.8,3905.6,3905.7
202102110814,3905.2,3905.5,3905.2,3905.5,3905.7,3905.8,3905.7,3905.8
202102110815,3905.5,3905.5,3904.9,3904.9,3905.8,3905.8,3905.2,3905.2
202102110816,3904.9,3905,3904.7,3905,3905.2,3905.3,3905,3905.3
202102110817,3905,3905.7,3904.9,3905.4,3905.3,3906,3905.3,3905.8
202102110818,3905.3,3906.2,3905.3,3905.9,3905.7,3906.6,3905.7,3906.5
202102110819,3906,3906.5,3905.9,3906.2,3906.5,3907.1,3906.4,3906.5
202102110820,3906.2,3907.3,3905.9,3907.2,3906.5,3907.8,3906.5,3907.6
202102110821,3907.2,3908.2,3907.2,3907.9,3907.6,3908.5,3907.6,3908.3
202102110822,3907.9,3908.4,3907.7,3908.4,3908.3,3908.8,3908,3908.7
202102110823,3908.4,3908.4,3907.4,3907.5,3908.7,3908.8,3908,3908
202102110824,3907.5,3907.7,3907.1,3907.6,3908,3908.1,3907.5,3908
202102110825,3907.6,3908.1,3907.6,3907.9,3908,3908.6,3908,3908.3
202102110826,3907.9,3907.9,3907.1,3907.2,3908.3,3908.3,3907.5,3907.5
202102110827,3907.2,3907.5,3907,3907,3907.5,3907.8,3907.4,3907.5
202102110828,3907,3907,3906.4,3906.5,3907.5,3907.5,3906.7,3906.8
202102110829,3906.4,3906.7,3906.2,3906.7,3906.7,3907.1,3906.5,3907
202102110830,3906.7,3907.6,3906.7,3907.6,3907,3908.1,3907,3908
202102110831,3907.6,3907.7,3905.7,3906,3908,3908.1,3906.3,3906.4
202102110832,3906,3906.9,3905.9,3906.7,3906.4,3907.3,3906.4,3907
202102110833,3906.7,3906.7,3906.2,3906.2,3907,3907.2,3906.6,3906.8
202102110834,3906.2,3906.6,3906.2,3906.4,3906.8,3907,3906.8,3906.8
202102110835,3906.4,3907.4,3906.2,3907.2,3906.8,3907.8,3906.7,3907.6
202102110836,3907.2,3907.3,3906.4,3906.6,3907.6,3907.8,3907,3907.1
202102110837,3906.5,3906.6,3905.2,3905.4,3906.9,3907.1,3905.7,3906
202102110838,3905.4,3905.6,3905.2,3905.3,3905.8,3906.1,3905.6,3905.6
202102110839,3905.3,3905.5,3905.2,3905.5,3905.6,3906.1,3905.6,3905.9
202102110840,3905.5,3905.8,3905.5,3905.8,3905.9,3906.3,3905.8,3906.1
202102110841,3905.8,3905.8,3904.7,3904.8,3906.1,3906.2,3905,3905.3
202102110842,3904.8,3905.1,3904.7,3905.1,3905.3,3905.5,3905.1,3905.5
202102110843,3905.1,3905.4,3904.9,3905.4,3905.5,3905.8,3905.3,3905.8
202102110844,3905.4,3906.2,3905.4,3906,3905.8,3906.7,3905.8,3906.4
202102110845,3906,3906.2,3906,3906.2,3906.4,3906.6,3906.3,3906.6
202102110846,3906.1,3906.2,3905.9,3906,3906.5,3906.7,3906.4,3906.5
202102110847,3906,3906.1,3905.8,3905.9,3906.5,3906.6,3906.2,3906.3
202102110848,3905.9,3906.7,3905.9,3906.2,3906.3,3907,3906.3,3906.8
202102110849,3906.2,3906.7,3906.2,3906.2,3906.8,3907.1,3906.7,3906.8
202102110850,3906.2,3906.4,3906.2,3906.3,3906.7,3906.8,3906.5,3906.8
202102110851,3906.3,3906.3,3906.2,3906.2,3906.8,3906.8,3906.5,3906.8
202102110852,3906.2,3906.4,3905.7,3905.7,3906.8,3906.8,3906.2,3906.2
202102110853,3905.7,3906.2,3905.7,3905.8,3906.2,3906.8,3906.1,3906.1
202102110854,3905.7,3905.9,3905.7,3905.7,3906,3906.3,3906,3906
202102110855,3905.7,3905.7,3905.2,3905.3,3906,3906.1,3905.7,3905.7
202102110856,3905.3,3906.2,3905.2,3906.1,3905.7,3906.6,3905.5,3906.5
202102110857,3906.1,3906.2,3905.5,3905.7,3906.5,3906.6,3906,3906.2
202102110858,3905.7,3906,3905.7,3906,3906.2,3906.3,3906.2,3906.3
202102110859,3906,3906,3905.7,3906,3906.3,3906.5,3906.1,3906.5
202102110900,3906,3906,3905.7,3905.8,3906.5,3906.5,3906.1,3906.1
202102110901,3905.7,3905.7,3905.4,3905.7,3906,3906.1,3905.8,3906
202102110902,3905.7,3905.7,3905.5,3905.5,3906,3906,3905.8,3905.9
202102110903,3905.5,3905.7,3905.4,3905.7,3905.9,3906,3905.8,3906
202102110904,3905.7,3905.7,3905.4,3905.4,3906,3906,3905.8,3906
202102110905,3905.4,3906.2,3905.4,3905.9,3906,3906.5,3906,3906.3
202102110906,3905.9,3905.9,3905.2,3905.4,3906.3,3906.3,3905.6,3905.8
202102110907,3905.4,3905.5,3904.4,3904.7,3905.8,3905.9,3904.9,3905
202102110908,3904.7,3904.8,3904.6,3904.8,3905,3905.1,3905,3905.1
202102110909,3904.7,3905.5,3904.7,3905.5,3905,3905.9,3905,3905.8
202102110910,3905.5,3905.5,3904.9,3905.4,3905.8,3905.8,3905.5,3905.7
202102110911,3905.5,3905.5,3905.1,3905.1,3905.8,3905.8,3905.5,3905.5
202102110912,3905.1,3905.1,3904.4,3904.7,3905.5,3905.5,3904.8,3905
202102110913,3904.7,3905,3904.5,3904.7,3905,3905.3,3905,3905
202102110914,3904.7,3904.9,3904.4,3904.5,3905,3905.3,3904.8,3905
202102110915,3904.5,3904.6,3903.5,3904.1,3905,3905,3903.8,3904.5
202102110916,3904.1,3904.1,3901.5,3902,3904.5,3904.5,3901.9,3902.3
202102110917,3902,3902.7,3902,3902.5,3902.3,3903,3902.3,3903
202102110918,3902.5,3903.2,3902.5,3902.5,3903,3903.6,3903,3903
202102110919,3902.5,3903.2,3902.5,3902.6,3903,3903.5,3903,3903
202102110920,3902.2,3902.7,3900.6,3900.8,3902.5,3903.3,3901,3901.2
202102110921,3900.8,3901.9,3900.8,3901.4,3901.2,3902.3,3901.2,3902
202102110922,3901.4,3901.9,3901,3901.5,3902,3902.3,3901.5,3902
202102110923,3901.5,3902.2,3901.5,3902.1,3902,3902.8,3902,3902.6
202102110924,3902.1,3902.1,3901.2,3901.2,3902.6,3902.6,3901.5,3901.5
202102110925,3901.2,3902.2,3901.2,3901.5,3901.5,3902.5,3901.5,3902.1
202102110926,3901.5,3901.8,3901.4,3901.7,3902.1,3902.3,3901.7,3902
202102110927,3901.7,3901.7,3901,3901,3902,3902,3901.4,3901.4
202102110928,3901,3901.4,3900.9,3901.2,3901.4,3901.8,3901.3,3901.5
202102110929,3901.2,3901.2,3901,3901,3901.5,3901.8,3901.4,3901.5
202102110930,3901,3902,3901,3901.7,3901.5,3902.4,3901.5,3902
202102110931,3901.7,3901.7,3900.7,3900.7,3902,3902,3901,3901
202102110932,3900.7,3900.7,3899.1,3899.3,3901,3901,3899.5,3899.6
202102110933,3899.3,3899.3,3899,3899,3899.6,3899.6,3899.3,3899.3
202102110934,3899,3899.2,3898.5,3898.5,3899.3,3899.6,3898.8,3898.8
202102110935,3898.5,3898.5,3897.1,3897.7,3898.8,3898.8,3897.5,3898
202102110936,3897.7,3897.9,3896.2,3896.4,3898,3898.3,3896.5,3896.7
202102110937,3896.4,3897.7,3896,3897.5,3896.7,3898,3896.3,3897.8
