日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202008060700,3316.9,3317,3314.7,3316,3317.2,3317.4,3315.2,3316.6
202008060701,3316,3316.3,3315.6,3315.7,3316.6,3316.8,3316,3316
202008060702,3315.7,3315.7,3315.2,3315.5,3316,3316,3315.8,3315.8
202008060703,3315.5,3315.6,3315.2,3315.2,3315.8,3316,3315.5,3315.5
202008060704,3315.2,3315.5,3315.2,3315.5,3315.5,3315.9,3315.5,3315.9
202008060705,3315.5,3315.6,3315.5,3315.6,3315.9,3316.1,3315.8,3316
202008060706,3315.6,3316,3315.5,3315.7,3316,3316.5,3316,3316.1
202008060707,3315.7,3316.2,3315.6,3316.2,3316.1,3316.6,3316.1,3316.6
202008060708,3316.2,3316.4,3316,3316.1,3316.6,3316.9,3316.5,3316.5
202008060709,3316.2,3316.3,3316.2,3316.2,3316.6,3316.8,3316.5,3316.6
202008060710,3316.2,3316.7,3316.2,3316.7,3316.7,3317.1,3316.7,3317.1
202008060711,3316.7,3317.2,3316.7,3317,3317.1,3317.6,3317.1,3317.4
202008060712,3317,3317,3316.7,3316.9,3317.4,3317.4,3317.1,3317.3
202008060713,3316.9,3316.9,3316.7,3316.7,3317.3,3317.3,3317.1,3317.1
202008060714,3316.7,3317.4,3316.7,3317.2,3317.1,3317.8,3317,3317.7
202008060715,3317.2,3317.2,3317,3317.2,3317.7,3317.7,3317.5,3317.7
202008060716,3317.2,3317.5,3317.2,3317.5,3317.7,3317.9,3317.5,3317.8
202008060717,3317.5,3317.7,3317.4,3317.7,3317.8,3318,3317.8,3318
202008060718,3317.7,3317.7,3316.9,3317.5,3318,3318.1,3317.5,3317.9
202008060719,3317.5,3317.5,3317.3,3317.5,3317.9,3318,3317.8,3317.9
202008060720,3317.5,3317.8,3317.4,3317.5,3317.9,3318.3,3317.7,3317.8
202008060721,3317.5,3317.5,3317.4,3317.4,3317.8,3317.8,3317.7,3317.7
202008060722,3317.5,3318.5,3317.5,3318.5,3317.8,3318.8,3317.8,3318.8
202008060723,3318.5,3319.2,3318.2,3319,3318.8,3319.6,3318.7,3319.3
202008060724,3319,3319,3318.2,3318.7,3319.3,3319.3,3318.6,3319.2
202008060725,3318.7,3318.7,3318.4,3318.7,3319.2,3319.2,3318.8,3319
202008060726,3318.7,3319,3318.7,3318.9,3319,3319.5,3319,3319.5
202008060727,3318.9,3319,3318.7,3318.7,3319.5,3319.6,3319,3319
202008060728,3318.7,3318.9,3318.7,3318.8,3319,3319.3,3319,3319.3
202008060729,3318.7,3319.2,3318.7,3319,3319.3,3319.5,3319.1,3319.5
202008060730,3319,3319.3,3319,3319,3319.5,3319.8,3319.3,3319.3
202008060731,3319,3319.2,3319,3319.2,3319.3,3319.5,3319.3,3319.5
202008060732,3319.2,3319.4,3319.2,3319.4,3319.5,3319.7,3319.5,3319.7
202008060733,3319.5,3319.5,3319.3,3319.3,3319.8,3319.8,3319.7,3319.7
202008060734,3319.3,3319.6,3318.5,3318.9,3319.7,3319.9,3319,3319.3
202008060735,3318.9,3319.3,3318.7,3319,3319.3,3319.6,3319,3319.4
202008060736,3319,3319,3318.7,3318.7,3319.4,3319.4,3319.1,3319.3
202008060737,3318.7,3319,3318.7,3318.7,3319.3,3319.3,3319.1,3319.1
202008060738,3318.7,3318.9,3318.7,3318.7,3319.1,3319.3,3319,3319
202008060739,3318.7,3319,3318.7,3318.9,3319,3319.3,3319,3319.2
202008060740,3318.9,3318.9,3318.7,3318.9,3319.2,3319.3,3319.1,3319.2
202008060741,3318.9,3319.1,3318.9,3319,3319.2,3319.5,3319.2,3319.3
202008060742,3319,3319.1,3318.5,3318.6,3319.3,3319.4,3318.8,3319
202008060743,3318.6,3318.7,3318.2,3318.4,3319,3319,3318.5,3318.7
202008060744,3318.4,3318.5,3318.2,3318.5,3318.7,3319,3318.7,3318.8
202008060745,3318.5,3318.5,3318.4,3318.5,3318.8,3318.8,3318.7,3318.8
202008060746,3318.5,3318.5,3318.2,3318.2,3318.8,3319,3318.5,3318.5
202008060747,3318.2,3318.5,3318.2,3318.5,3318.5,3318.8,3318.5,3318.8
202008060748,3318.5,3318.5,3318.4,3318.4,3318.8,3319,3318.8,3319
202008060749,3318.4,3318.7,3318.4,3318.7,3319,3319,3318.8,3319
202008060750,3318.7,3318.8,3318.7,3318.8,3319,3319.1,3319,3319.1
202008060751,3318.8,3318.9,3318.5,3318.9,3319.1,3319.3,3318.8,3319.2
202008060752,3319,3319,3318.9,3319,3319.3,3319.3,3319.2,3319.3
202008060753,3319,3319.4,3319,3319.3,3319.3,3319.7,3319.3,3319.7
202008060754,3319.3,3319.7,3319.3,3319.7,3319.7,3320,3319.7,3320
202008060755,3319.7,3319.7,3319.4,3319.4,3320,3320,3319.8,3320
202008060756,3319.4,3319.6,3319.4,3319.6,3320,3320,3319.9,3319.9
202008060757,3319.7,3319.7,3319.5,3319.5,3320,3320,3319.8,3319.8
202008060758,3319.5,3319.5,3319.5,3319.5,3319.8,3319.8,3319.8,3319.8
202008060759,3319.5,3319.6,3319.2,3319.5,3319.8,3320,3319.7,3319.8
202008060800,3319.5,3319.7,3319.4,3319.5,3319.8,3320,3319.8,3319.8
202008060801,3319.5,3319.6,3319.3,3319.4,3319.8,3320,3319.7,3319.7
202008060802,3319.4,3319.4,3319,3319.2,3319.7,3319.8,3319.5,3319.5
202008060803,3319.3,3320.6,3319.2,3319.7,3319.6,3321,3319.6,3320.2
202008060804,3319.7,3319.9,3319.5,3319.5,3320.2,3320.3,3320,3320
202008060805,3319.5,3319.5,3319.1,3319.1,3320,3320,3319.5,3319.5
202008060806,3319.1,3319.2,3319.1,3319.2,3319.5,3319.5,3319.5,3319.5
202008060807,3319.2,3319.5,3318.9,3319.1,3319.5,3319.9,3319.3,3319.5
202008060808,3319.1,3319.2,3318.9,3319,3319.5,3319.6,3319.3,3319.4
202008060809,3319,3319.4,3319,3319.2,3319.4,3319.8,3319.4,3319.7
202008060810,3319.2,3319.3,3319,3319.3,3319.7,3319.8,3319.3,3319.8
202008060811,3319.3,3319.7,3319.2,3319.7,3319.8,3320.1,3319.6,3320
202008060812,3319.7,3319.7,3319.5,3319.7,3320,3320,3320,3320
202008060813,3319.7,3320,3319.4,3319.7,3320,3320.3,3320,3320.3
202008060814,3319.7,3320,3319.5,3320,3320.3,3320.5,3319.8,3320.3
202008060815,3320,3320,3319.7,3319.7,3320.3,3320.3,3320,3320
202008060816,3319.7,3320.2,3319,3319,3320,3320.5,3319.3,3319.3
202008060817,3319,3319,3317.7,3317.8,3319.3,3319.3,3318,3318.2
202008060818,3317.8,3319.3,3317.8,3319.2,3318.2,3319.6,3318.2,3319.6
202008060819,3319.1,3319.5,3319.1,3319.2,3319.5,3319.8,3319.5,3319.8
202008060820,3319.2,3319.7,3319.2,3319.2,3319.8,3320.1,3319.6,3319.6
202008060821,3319.2,3319.4,3319.2,3319.4,3319.6,3320,3319.6,3319.8
202008060822,3319.4,3319.5,3319.2,3319.2,3319.8,3320,3319.5,3319.7
202008060823,3319.2,3319.3,3319,3319.2,3319.7,3319.8,3319.3,3319.8
202008060824,3319.2,3320.2,3319,3319.5,3319.8,3320.5,3319.4,3319.9
202008060825,3319.5,3319.7,3319.5,3319.6,3319.9,3320.1,3319.8,3320
202008060826,3319.6,3320.5,3319.4,3320,3320,3320.8,3320,3320.3
202008060827,3320,3320.4,3319.2,3320.3,3320.3,3320.7,3319.6,3320.6
202008060828,3320.3,3320.3,3319.7,3319.8,3320.6,3320.6,3320.2,3320.2
202008060829,3319.8,3320,3319.7,3320,3320.2,3320.3,3320.1,3320.3
202008060830,3320,3320.6,3319.9,3320.2,3320.3,3321,3320.3,3320.6
202008060831,3320.2,3320.2,3319.9,3320,3320.6,3320.6,3320.3,3320.3
202008060832,3320,3320,3319.4,3319.5,3320.3,3320.4,3319.9,3319.9
202008060833,3319.5,3319.7,3319.2,3319.2,3319.9,3320.2,3319.7,3319.8
202008060834,3319.2,3319.4,3319,3319.2,3319.8,3319.8,3319.5,3319.5
202008060835,3319.2,3319.5,3319.2,3319.5,3319.5,3319.8,3319.5,3319.8
202008060836,3319.5,3319.7,3319.4,3319.5,3319.8,3320,3319.7,3319.8
202008060837,3319.5,3319.7,3319.2,3319.5,3319.8,3320,3319.6,3319.9
202008060838,3319.5,3319.5,3319.3,3319.4,3319.9,3319.9,3319.8,3319.8
202008060839,3319.5,3319.5,3319.4,3319.5,3319.9,3319.9,3319.8,3319.9
202008060840,3319.5,3319.6,3319.2,3319.2,3319.9,3320,3319.6,3319.8
202008060841,3319.2,3319.4,3319.2,3319.2,3319.8,3319.8,3319.5,3319.5
202008060842,3319.2,3319.4,3319.2,3319.3,3319.5,3319.8,3319.5,3319.6
202008060843,3319.3,3319.5,3319.2,3319.5,3319.6,3319.8,3319.6,3319.8
202008060844,3319.5,3319.5,3319,3319.2,3319.8,3319.8,3319.3,3319.5
202008060845,3319.2,3319.2,3319,3319,3319.5,3319.6,3319.3,3319.4
