日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
201907190700,3003.8,3005.7,3003.7,3005.5,3004.1,3006,3004,3006
201907190701,3005.5,3006.5,3005.2,3006.5,3006,3006.8,3005.8,3006.8
201907190702,3006.5,3006.7,3006.2,3006.6,3006.8,3007.2,3006.7,3006.9
201907190703,3006.6,3007.3,3006.2,3007.3,3006.9,3007.6,3006.6,3007.6
201907190704,3007.2,3007.2,3006.9,3007,3007.5,3007.5,3007.3,3007.3
201907190705,3007,3008.4,3007,3008.1,3007.3,3008.8,3007.3,3008.5
201907190706,3008.1,3008.2,3007.8,3008,3008.5,3008.5,3008.2,3008.4
201907190707,3008,3008.1,3007.4,3007.4,3008.4,3008.4,3007.7,3007.8
201907190708,3007.4,3008.2,3007.2,3007.7,3007.8,3008.5,3007.5,3008.3
201907190709,3007.7,3008,3007.5,3008,3008.3,3008.3,3008,3008.3
201907190710,3008,3008,3007.5,3007.6,3008.3,3008.5,3007.9,3008
201907190711,3007.6,3008.3,3007.6,3008.3,3008,3008.6,3008,3008.6
201907190712,3008.3,3008.8,3008.2,3008.8,3008.6,3009.1,3008.5,3009.1
201907190713,3008.8,3009.4,3008.7,3009,3009.1,3009.7,3009.1,3009.3
201907190714,3008.9,3008.9,3008.7,3008.9,3009.2,3009.2,3009,3009.2
201907190715,3008.9,3009,3008.9,3008.9,3009.2,3009.3,3009.2,3009.2
201907190716,3008.9,3009.2,3008.9,3009,3009.2,3009.5,3009.2,3009.3
201907190717,3009,3009,3008.4,3008.4,3009.3,3009.3,3008.7,3008.7
201907190718,3008.5,3008.5,3008,3008.2,3008.8,3008.8,3008.4,3008.5
201907190719,3008.2,3008.2,3007.7,3007.8,3008.5,3008.5,3008.1,3008.1
201907190720,3007.8,3007.8,3006.8,3006.9,3008.1,3008.1,3007.2,3007.2
201907190721,3007,3007,3003.9,3004.6,3007.3,3007.3,3004.2,3005
201907190722,3004.6,3005.3,3004.5,3005,3005,3005.8,3005,3005.5
201907190723,3005.1,3005.1,3003,3003.2,3005.5,3005.5,3003.3,3003.5
201907190724,3003.2,3003.2,3000.2,3001.7,3003.5,3003.5,3000.6,3002
201907190725,3001.7,3002.4,3001,3001.2,3002,3002.8,3001.3,3001.5
201907190726,3001.2,3001.2,2999.2,3000.2,3001.5,3001.6,2999.6,3000.5
201907190727,3000.2,3000.4,2996.2,2996.2,3000.5,3000.7,2996.5,2996.5
201907190728,2996.2,2999.3,2996.1,2999,2996.5,2999.8,2996.5,2999.3
201907190729,2999,2999.3,2997,2997.4,2999.3,2999.7,2997.5,2997.8
201907190730,2997.5,2999,2997.3,2998.6,2997.9,2999.5,2997.8,2999
201907190731,2998.6,2998.6,2998.2,2998.4,2999,2999,2998.5,2998.7
201907190732,2998.4,2999.2,2998.4,2998.7,2998.7,2999.6,2998.7,2999.3
201907190733,2998.7,3000.2,2998.7,3000.2,2999.3,3000.5,2999.2,3000.5
201907190734,3000.2,3000.6,2999.5,3000.5,3000.5,3001,3000,3000.8
201907190735,3000.4,3000.7,3000.2,3000.5,3000.7,3001.1,3000.6,3000.8
201907190736,3000.5,3001.3,3000.3,3000.3,3000.8,3001.6,3000.6,3000.6
201907190737,3000.3,3000.4,2999.6,2999.6,3000.6,3000.8,2999.9,2999.9
201907190738,2999.7,3000.1,2999.7,3000,3000,3000.4,3000,3000.3
201907190739,3000,3000.3,2999.1,2999.1,3000.3,3000.6,2999.5,2999.5
201907190740,2999.1,3000,2998.8,3000,2999.5,3000.5,2999.2,3000.4
201907190741,3000,3000.3,2999.7,2999.7,3000.4,3000.8,3000,3000.2
201907190742,2999.7,2999.9,2998.2,2998.2,3000.2,3000.3,2998.8,2998.8
201907190743,2998.2,2998.6,2996.9,2997.2,2998.8,2999,2997.3,2997.5
201907190744,2997.2,2998.5,2997,2998.3,2997.5,2999,2997.5,2998.9
201907190745,2998.4,2998.4,2997.9,2998,2998.8,2998.8,2998.2,2998.3
201907190746,2998,2998,2997.9,2998,2998.3,2998.3,2998.2,2998.3
201907190747,2998.1,2998.5,2997.9,2998.2,2998.5,2999,2998.3,2998.7
201907190748,2998.2,2998.5,2997.7,2997.7,2998.8,2999.1,2998,2998
201907190749,2997.7,2997.8,2997.5,2997.8,2998,2998.3,2997.9,2998.2
201907190750,2997.8,2997.8,2997.6,2997.7,2998.2,2998.3,2998,2998
201907190751,2997.7,2998,2997.7,2998,2998,2998.3,2998,2998.3
201907190752,2998,2998,2997.5,2997.5,2998.3,2998.3,2997.8,2997.8
201907190753,2997.5,2997.5,2997.2,2997.3,2997.8,2997.8,2997.6,2997.6
201907190754,2997.3,2997.3,2996.9,2997,2997.6,2997.7,2997.2,2997.3
201907190755,2997,2997,2996.7,2997,2997.3,2997.5,2997.3,2997.5
201907190756,2997,2997.3,2996.9,2996.9,2997.5,2997.6,2997.2,2997.2
201907190757,2996.9,2997,2996.9,2996.9,2997.2,2997.3,2997.2,2997.2
201907190758,2996.9,2997.2,2996.7,2996.8,2997.2,2997.5,2997,2997.1
201907190759,2996.8,2996.9,2996.7,2996.8,2997.1,2997.3,2997.1,2997.1
201907190800,2996.8,2997,2996.2,2996.5,2997.1,2997.3,2996.5,2996.9
201907190801,2996.5,2997.1,2996.5,2997,2996.9,2997.4,2996.9,2997.3
201907190802,2997,2997,2996.9,2997,2997.3,2997.4,2997.2,2997.3
201907190803,2997,2997,2997,2997,2997.3,2997.3,2997.3,2997.3
201907190804,2997,2997,2996.9,2997,2997.3,2997.3,2997.2,2997.3
201907190805,2997,2997.2,2997,2997.2,2997.3,2997.5,2997.3,2997.5
201907190806,2997.2,2998.1,2997.2,2998.1,2997.5,2998.4,2997.5,2998.4
201907190807,2998.1,2998.5,2998,2998.5,2998.4,2998.8,2998.3,2998.8
201907190808,2998.5,2998.9,2998.5,2998.9,2998.8,2999.3,2998.8,2999.2
201907190809,2998.9,2999.2,2998.9,2999.2,2999.2,2999.5,2999.2,2999.5
201907190810,2999.2,3000.4,2999.2,3000.2,2999.5,3000.8,2999.5,3000.5
201907190811,3000.2,3000.6,3000,3000.6,3000.5,3001,3000.3,3000.9
201907190812,3000.6,3000.6,3000.1,3000.1,3000.9,3000.9,3000.4,3000.4
201907190813,3000.1,3000.2,2999.7,3000,3000.4,3000.5,3000.1,3000.3
201907190814,3000,3000,2999.7,2999.7,3000.3,3000.3,3000,3000
201907190815,2999.7,2999.7,2999.2,2999.2,3000,3000,2999.5,2999.5
201907190816,2999.2,2999.5,2999.2,2999.4,2999.5,2999.8,2999.5,2999.7
201907190817,2999.4,2999.4,2998.9,2999,2999.7,2999.7,2999.2,2999.3
201907190818,2999,2999,2998.7,2998.9,2999.3,2999.3,2999.1,2999.2
201907190819,2998.9,2999.2,2998.9,2999.2,2999.2,2999.6,2999.2,2999.5
201907190820,2999.2,2999.4,2999.1,2999.1,2999.5,2999.7,2999.5,2999.5
201907190821,2999.1,2999.1,2998.4,2998.7,2999.5,2999.5,2998.9,2999.2
