日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
201903210700,2823.4,2824.7,2823.3,2824.7,2823.7,2825,2823.7,2825
201903210701,2824.7,2824.7,2824.2,2824.3,2825,2825,2824.5,2824.7
201903210702,2824.3,2824.8,2824.3,2824.5,2824.7,2825.3,2824.7,2824.8
201903210703,2824.5,2824.5,2823.2,2823.7,2824.8,2824.8,2823.7,2824
201903210704,2823.7,2824.2,2823.7,2824.2,2824,2824.5,2824,2824.5
201903210705,2824.2,2824.3,2824.2,2824.3,2824.5,2824.8,2824.5,2824.7
201903210706,2824.3,2824.3,2824,2824.1,2824.7,2824.8,2824.5,2824.5
201903210707,2824,2824,2824,2824,2824.3,2824.6,2824.3,2824.3
201903210708,2824,2824,2823.2,2823.4,2824.3,2824.3,2823.6,2823.7
201903210709,2823.4,2823.4,2823.3,2823.3,2823.7,2823.7,2823.6,2823.6
201903210710,2823.3,2823.3,2822.7,2822.9,2823.6,2823.6,2823.1,2823.2
201903210711,2823,2823,2823,2823,2823.3,2823.3,2823.3,2823.3
201903210712,2823,2823.2,2823,2823,2823.3,2823.5,2823.3,2823.3
201903210713,2823.2,2823.2,2823,2823,2823.5,2823.5,2823.3,2823.3
201903210714,2823,2823,2823,2823,2823.3,2823.3,2823.3,2823.3
201903210715,2823,2823,2823,2823,2823.3,2823.4,2823.3,2823.3
201903210716,2823,2823.5,2823,2823.5,2823.3,2823.8,2823.3,2823.8
201903210717,2823.5,2823.5,2823,2823.2,2823.8,2823.8,2823.3,2823.5
201903210718,2823.2,2823.7,2823.2,2823.7,2823.5,2824,2823.5,2824
201903210719,2823.6,2824,2823.6,2823.8,2823.9,2824.3,2823.9,2824.2
201903210720,2823.8,2824,2823.5,2824,2824.2,2824.3,2823.8,2824.3
201903210721,2824,2824.2,2824,2824.2,2824.3,2824.5,2824.3,2824.5
201903210722,2824.5,2824.5,2824.5,2824.5,2824.8,2824.8,2824.8,2824.8
201903210723,2824.5,2824.5,2824.2,2824.4,2824.8,2824.8,2824.5,2824.7
201903210724,2824.5,2824.7,2824.5,2824.7,2824.8,2825,2824.8,2825
201903210725,2824.7,2825.2,2824.7,2825.2,2825,2825.5,2825,2825.5
201903210726,2825.2,2825.5,2825.2,2825.3,2825.5,2825.8,2825.5,2825.6
201903210727,2825.3,2825.5,2825.2,2825.2,2825.6,2825.8,2825.5,2825.5
201903210728,2825.3,2825.3,2825.2,2825.3,2825.6,2825.6,2825.5,2825.6
201903210729,2825.2,2825.2,2824.9,2824.9,2825.5,2825.5,2825.2,2825.2
201903210730,2825,2825.3,2824.9,2825.3,2825.3,2825.8,2825.3,2825.6
