日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
201905010700,2955,2955,2954.2,2954.3,2955.3,2955.4,2954.6,2954.6
201905010701,2954.3,2954.6,2954.3,2954.5,2954.6,2955,2954.6,2954.8
201905010702,2954.5,2954.5,2954.4,2954.4,2954.8,2954.8,2954.7,2954.7
201905010703,2954.4,2954.4,2954.3,2954.3,2954.7,2954.7,2954.6,2954.6
201905010704,2954.3,2954.3,2954.2,2954.2,2954.6,2954.6,2954.5,2954.5
201905010705,2954.2,2954.2,2954.2,2954.2,2954.5,2954.5,2954.5,2954.5
201905010706,2954.2,2954.3,2954.2,2954.2,2954.5,2954.8,2954.5,2954.5
201905010707,2954.2,2954.5,2954.2,2954.5,2954.5,2954.8,2954.5,2954.8
201905010708,2954.5,2954.5,2954.5,2954.5,2954.8,2954.8,2954.8,2954.8
201905010709,2954.5,2954.5,2954.5,2954.5,2954.8,2954.8,2954.8,2954.8
201905010710,2954.5,2954.5,2954.5,2954.5,2954.8,2954.8,2954.8,2954.8
201905010711,2954.5,2954.5,2954.2,2954.2,2954.8,2954.8,2954.5,2954.5
201905010712,2954.1,2954.2,2953.7,2953.7,2954.4,2954.5,2954,2954.2
201905010713,2953.7,2953.9,2953.7,2953.7,2954.2,2954.3,2954.1,2954.3
201905010714,2953.7,2953.9,2953.7,2953.8,2954.3,2954.3,2954.1,2954.1
201905010715,2953.8,2953.8,2953.6,2953.7,2954.1,2954.1,2953.9,2954
201905010716,2953.7,2953.9,2953.7,2953.7,2954,2954.2,2954,2954
201905010717,2953.7,2953.9,2953.7,2953.8,2954,2954.3,2954,2954.1
201905010718,2953.8,2953.8,2953.7,2953.7,2954.1,2954.1,2954,2954
201905010719,2953.7,2953.7,2953.7,2953.7,2954,2954,2954,2954
201905010720,2953.8,2953.8,2953.7,2953.7,2954.1,2954.1,2954,2954
201905010721,2953.7,2953.8,2953.7,2953.7,2954,2954.1,2954,2954
201905010722,2953.7,2953.7,2953.7,2953.7,2954,2954,2954,2954
201905010723,2953.7,2953.7,2953.7,2953.7,2954,2954,2954,2954
201905010724,2953.7,2953.7,2953.7,2953.7,2954,2954,2954,2954
201905010725,2953.7,2953.7,2953.7,2953.7,2954,2954,2954,2954
201905010726,2953.7,2953.7,2953.7,2953.7,2954,2954,2954,2954
201905010727,2953.7,2953.7,2953.7,2953.7,2954,2954,2954,2954
201905010728,2953.7,2953.7,2953.7,2953.7,2954,2954,2954,2954
201905010729,2953.7,2953.7,2953.7,2953.7,2954,2954,2954,2954
201905010730,2953.7,2953.7,2953.7,2953.7,2954,2954,2954,2954
201905010731,2953.7,2953.8,2953.2,2953.2,2954,2954.1,2953.7,2953.8
201905010732,2953.2,2953.4,2953,2953.2,2953.8,2953.8,2953.3,2953.5
201905010733,2953.2,2953.2,2953,2953,2953.5,2953.5,2953.3,2953.3
201905010734,2953,2953,2953,2953,2953.3,2953.3,2953.3,2953.3
201905010735,2953,2953,2953,2953,2953.3,2953.3,2953.3,2953.3
201905010736,2953,2953,2953,2953,2953.3,2953.3,2953.3,2953.3
201905010737,2953,2953.2,2953,2953.2,2953.3,2953.5,2953.3,2953.5
201905010738,2953.2,2953.2,2953.2,2953.2,2953.5,2953.5,2953.5,2953.5
201905010739,2953.2,2953.4,2953.2,2953.4,2953.5,2953.7,2953.5,2953.7
