日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202303170700,3994.9,3994.9,3990.9,3991.4,3995.2,3995.2,3991.5,3991.9
202303170701,3991.4,3991.8,3990.1,3991.1,3991.9,3992.3,3990.5,3991.7
202303170702,3991.1,3991.7,3990.7,3991.7,3991.6,3992.2,3991.1,3992
202303170703,3991.7,3992,3991.5,3991.7,3992,3992.3,3991.8,3992
202303170704,3991.8,3992.5,3991.7,3991.9,3992.1,3993,3992,3992.3
202303170705,3991.9,3992.7,3991.9,3992.5,3992.3,3993.1,3992.3,3992.8
202303170706,3992.5,3993.5,3992.5,3993.2,3992.8,3993.8,3992.8,3993.5
202303170707,3993.2,3993.2,3992.7,3992.8,3993.5,3993.6,3993,3993.1
202303170708,3992.8,3993.4,3992.7,3993.4,3993.1,3993.8,3993,3993.7
202303170709,3993.5,3993.5,3992.6,3993.1,3993.8,3993.9,3993,3993.5
202303170710,3993.1,3993.3,3992.7,3993,3993.5,3993.8,3993,3993.3
202303170711,3993,3993.4,3992.5,3992.7,3993.3,3993.7,3993,3993
202303170712,3992.7,3993.2,3992.4,3992.4,3993,3993.5,3992.7,3992.7
202303170713,3992.5,3992.9,3992.4,3992.4,3992.8,3993.3,3992.7,3992.7
202303170714,3992.5,3992.5,3991.6,3991.7,3992.8,3992.8,3992,3992
202303170715,3991.7,3991.8,3991.3,3991.4,3992,3992.2,3991.7,3991.7
202303170716,3991.4,3991.5,3991.2,3991.3,3991.7,3991.8,3991.6,3991.6
202303170717,3991.3,3991.3,3990.9,3991.2,3991.6,3991.6,3991.2,3991.5
202303170718,3991.2,3991.7,3991,3991.7,3991.5,3992,3991.5,3992
202303170719,3991.7,3991.7,3991.1,3991.1,3992,3992,3991.5,3991.5
202303170720,3991.1,3991.9,3991,3991.8,3991.5,3992.3,3991.5,3992.3
202303170721,3991.8,3991.9,3990.7,3991,3992.3,3992.3,3991.1,3991.4
202303170722,3990.9,3991.2,3990.5,3990.5,3991.3,3991.6,3991,3991
202303170723,3990.5,3991,3988.2,3988.7,3991,3991.3,3988.5,3989.3
202303170724,3988.7,3989.7,3988.5,3988.7,3989.3,3990,3988.8,3989
202303170725,3988.7,3989,3988.2,3988.5,3989,3989.4,3988.5,3988.8
202303170726,3988.5,3989,3988,3988.7,3988.8,3989.3,3988.5,3989.1
202303170727,3988.7,3988.9,3988.2,3988.5,3989.1,3989.3,3988.5,3988.8
202303170728,3988.5,3988.8,3988.1,3988.2,3988.8,3989.3,3988.5,3988.5
202303170729,3988.2,3989.5,3988.2,3989.2,3988.5,3989.8,3988.5,3989.8
202303170730,3989.2,3989.3,3988.6,3988.8,3989.8,3989.8,3989.1,3989.3
202303170731,3988.8,3989,3988.5,3988.5,3989.3,3989.5,3989,3989.1
202303170732,3988.5,3989,3988.2,3989,3989.1,3989.3,3988.8,3989.3
202303170733,3989,3989.2,3988.8,3989.2,3989.3,3989.5,3989.3,3989.5
202303170734,3989.2,3989.7,3989.1,3989.3,3989.5,3990,3989.5,3989.8
202303170735,3989.3,3989.5,3988.7,3988.7,3989.8,3989.8,3989.1,3989.3
202303170736,3988.7,3989.2,3988.7,3989.2,3989.3,3989.8,3989.3,3989.8
202303170737,3989.2,3989.5,3989.2,3989.3,3989.8,3989.8,3989.7,3989.7
202303170738,3989.3,3990.3,3989.2,3990.2,3989.7,3990.8,3989.6,3990.6
202303170739,3990.2,3990.2,3989.7,3989.7,3990.6,3990.7,3990.1,3990.1
202303170740,3989.7,3989.8,3989.4,3989.7,3990.1,3990.3,3989.9,3990
202303170741,3989.7,3990.6,3989.7,3990.6,3990,3991,3990,3991
202303170742,3990.6,3991,3990.6,3990.7,3991,3991.4,3991,3991.1
202303170743,3990.7,3990.9,3990.4,3990.4,3991.1,3991.3,3990.8,3991
202303170744,3990.4,3990.5,3990.4,3990.5,3991,3991,3990.8,3990.8
202303170745,3990.5,3990.6,3990,3990.6,3990.8,3991,3990.3,3991
202303170746,3990.6,3990.7,3990.4,3990.7,3991,3991,3990.9,3991
202303170747,3990.7,3991.1,3990.7,3990.7,3991,3991.6,3991,3991
202303170748,3990.8,3991.2,3990.7,3991.1,3991.1,3991.6,3991.1,3991.5
202303170749,3991.1,3991.2,3990.8,3990.8,3991.5,3991.5,3991.3,3991.3
202303170750,3990.8,3991,3990.7,3990.8,3991.3,3991.5,3991,3991.1
202303170751,3990.8,3991.8,3990.8,3991.5,3991.1,3992.3,3991.1,3991.9
