日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202105030700,4182.4,4185.3,4181.5,4185.2,4182.7,4185.9,4182.7,4185.7
202105030701,4185.2,4186.7,4185.2,4185.5,4185.8,4187.2,4185.8,4186.1
202105030702,4185.2,4186.1,4185.2,4185.4,4186,4186.6,4185.8,4185.9
202105030703,4185.4,4186.4,4185.3,4186.4,4186,4186.7,4185.8,4186.7
202105030704,4186.4,4186.5,4185.4,4185.4,4186.7,4187,4186,4186
202105030705,4185.5,4186,4185.5,4185.5,4185.9,4186.4,4185.8,4185.8
202105030706,4185.5,4185.5,4184.4,4184.4,4185.8,4186.1,4185,4185
202105030707,4184.4,4184.7,4184,4184.5,4185,4185.3,4184.4,4184.9
202105030708,4184.4,4184.5,4183.7,4184.2,4184.8,4184.8,4184.1,4184.8
202105030709,4184.2,4184.7,4184.2,4184.6,4184.8,4185.1,4184.7,4185
202105030710,4184.6,4184.8,4184.4,4184.8,4185,4185.3,4184.9,4185.2
202105030711,4184.7,4185.5,4184.7,4185.2,4185.3,4185.8,4185.3,4185.6
202105030712,4185.2,4185.5,4184.4,4184.4,4185.6,4185.8,4184.8,4185
202105030713,4184.5,4184.5,4183.5,4183.7,4185,4185,4184,4184
202105030714,4183.7,4184.4,4183.2,4183.4,4184,4184.8,4183.7,4183.7
202105030715,4183.4,4183.5,4183.1,4183.4,4183.7,4183.8,4183.5,4183.8
202105030716,4183.4,4184,4183.4,4183.6,4183.8,4184.3,4183.8,4184
202105030717,4183.6,4184.3,4183.4,4184.2,4184,4184.8,4184,4184.5
202105030718,4184.2,4184.5,4183.7,4183.7,4184.5,4184.8,4184,4184.1
202105030719,4183.7,4184.2,4183.4,4184.2,4184.1,4184.6,4184,4184.6
202105030720,4184.2,4184.6,4184.2,4184.2,4184.6,4185,4184.5,4184.8
202105030721,4184.2,4184.7,4184.2,4184.7,4184.8,4185,4184.7,4185
202105030722,4184.7,4185,4184.4,4184.9,4185,4185.3,4184.9,4185.3
202105030723,4185,4185.2,4184.9,4185,4185.4,4185.8,4185.3,4185.6
202105030724,4185,4185.2,4184.9,4185,4185.6,4185.6,4185.3,4185.3
202105030725,4185,4185,4185,4185,4185.3,4185.4,4185.3,4185.3
202105030726,4185,4185,4184.5,4184.7,4185.3,4185.4,4184.8,4185
202105030727,4184.7,4185.7,4184.7,4185.7,4185,4186.1,4185,4186
202105030728,4185.7,4186.6,4185.7,4186.6,4186,4187,4186,4187
202105030729,4186.6,4186.7,4186.2,4186.4,4187,4187,4186.7,4186.8
202105030730,4186.4,4186.9,4186.4,4186.5,4186.8,4187.3,4186.8,4186.9
202105030731,4186.5,4186.8,4186.4,4186.7,4186.9,4187.3,4186.8,4187
202105030732,4186.7,4186.9,4186.5,4186.9,4187,4187.3,4186.8,4187.2
202105030733,4186.9,4186.9,4186.5,4186.6,4187.2,4187.3,4186.9,4186.9
202105030734,4186.6,4187,4186.5,4187,4186.9,4187.3,4186.8,4187.3
202105030735,4187,4187.5,4187,4187,4187.3,4187.8,4187.3,4187.3
202105030736,4187,4187,4186.7,4186.7,4187.3,4187.3,4187.1,4187.1
202105030737,4186.7,4186.9,4186.7,4186.7,4187.1,4187.3,4187,4187
202105030738,4186.7,4186.7,4186,4186.5,4187,4187.1,4186.5,4186.9
202105030739,4186.5,4186.6,4186.2,4186.4,4186.9,4187,4186.6,4186.9
202105030740,4186.4,4186.5,4186.4,4186.4,4186.9,4186.9,4186.7,4186.7
202105030741,4186.5,4186.8,4186.2,4186.7,4186.8,4187.3,4186.7,4187
202105030742,4186.7,4187,4186.5,4187,4187,4187.3,4186.8,4187.3
202105030743,4187,4187.6,4187,4187.4,4187.3,4188,4187.3,4187.7
202105030744,4187.4,4187.4,4186.4,4186.4,4187.7,4187.8,4186.9,4187
202105030745,4186.4,4186.7,4186.4,4186.4,4187,4187.1,4186.8,4186.9
202105030746,4186.4,4186.7,4186.4,4186.7,4186.9,4187,4186.9,4187
202105030747,4186.7,4186.7,4186.4,4186.4,4187,4187,4186.8,4186.8
202105030748,4186.4,4186.5,4186.2,4186.5,4186.8,4186.9,4186.6,4186.8
202105030749,4186.5,4186.5,4185.7,4185.9,4186.8,4186.8,4186.1,4186.3
202105030750,4185.9,4186.1,4185.7,4185.7,4186.3,4186.5,4186.1,4186.3
202105030751,4185.8,4186,4185.7,4185.7,4186.3,4186.5,4186,4186.2
202105030752,4185.7,4185.9,4185.2,4185.5,4186.3,4186.3,4185.6,4185.8
202105030753,4185.5,4185.7,4185.4,4185.7,4185.8,4186.1,4185.8,4186
202105030754,4185.7,4186,4185.7,4186,4186,4186.6,4186,4186.4
202105030755,4186,4186.2,4186,4186,4186.4,4186.5,4186.3,4186.3
202105030756,4186,4186.2,4186,4186.1,4186.3,4186.5,4186.3,4186.5
202105030757,4186.1,4186.5,4186.1,4186.4,4186.5,4186.8,4186.5,4186.8
202105030758,4186.4,4186.5,4186.4,4186.5,4186.8,4186.8,4186.8,4186.8
202105030759,4186.5,4186.5,4186.5,4186.5,4186.8,4187,4186.8,4186.9
202105030800,4186.5,4186.7,4186.3,4186.5,4186.9,4187.1,4186.7,4187.1
202105030801,4186.5,4186.5,4186.3,4186.4,4187.1,4187.1,4186.7,4186.7
202105030802,4186.4,4186.5,4186.3,4186.5,4186.7,4186.9,4186.7,4186.9
