日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202112030800,4585.6,4586.2,4584,4586.1,4586.5,4587,4584.5,4586.7
202112030801,4586.2,4588.6,4585.5,4588.5,4586.8,4589,4586.1,4588.9
202112030802,4588.1,4588.4,4586.7,4587.4,4588.7,4588.9,4587.3,4588
202112030803,4587.4,4587.7,4586,4586.3,4587.9,4588.1,4586.6,4586.9
202112030804,4586.3,4586.9,4586.3,4586.7,4586.9,4587.4,4586.9,4587.3
202112030805,4586.8,4587.4,4586.7,4587.1,4587.3,4588,4587.3,4587.4
202112030806,4587.1,4587.5,4585.2,4585.2,4587.4,4587.9,4585.6,4585.6
202112030807,4585.2,4585.7,4585.2,4585.3,4585.6,4586.2,4585.6,4585.6
202112030808,4585.3,4585.9,4585.3,4585.9,4585.6,4586.5,4585.6,4586.5
202112030809,4585.9,4586,4584.9,4585,4586.5,4586.5,4585.4,4585.4
202112030810,4585,4585.2,4583.7,4583.8,4585.4,4585.6,4584.1,4584.4
202112030811,4583.8,4584.7,4583.4,4583.4,4584.4,4585.3,4583.8,4583.8
202112030812,4583.4,4583.9,4583,4583.4,4583.8,4584.3,4583.5,4583.9
202112030813,4583.4,4583.4,4580.2,4581,4583.9,4583.9,4580.6,4581.4
202112030814,4581,4581,4579.2,4580.2,4581.4,4581.5,4579.6,4580.5
202112030815,4580.2,4580.9,4578.2,4578.5,4580.5,4581.5,4578.8,4579.1
202112030816,4578.5,4578.5,4575.2,4575.4,4579.1,4579.1,4575.6,4576
202112030817,4575.4,4576.6,4574.2,4574.6,4576,4577,4574.8,4575
202112030818,4574.6,4576.5,4572.9,4573.2,4575,4577,4573.3,4573.8
202112030819,4573.3,4575.2,4572.9,4575,4573.8,4575.7,4573.3,4575.6
202112030820,4575.1,4576.7,4575.1,4576.4,4575.6,4577.3,4575.6,4577
202112030821,4576.4,4576.7,4575.4,4576.3,4577,4577.1,4576,4576.9
202112030822,4576.4,4576.9,4572.7,4572.8,4576.9,4577.4,4573.2,4573.2
202112030823,4572.8,4574.4,4572.1,4572.9,4573.2,4574.8,4572.5,4573.3
202112030824,4572.9,4572.9,4570.4,4571.3,4573.3,4573.3,4570.9,4571.8
202112030825,4571.4,4573.3,4571.4,4572.9,4572,4573.8,4571.9,4573.5
202112030826,4572.9,4573.6,4572.1,4572.9,4573.4,4574.1,4572.5,4573.4
202112030827,4572.9,4573.2,4572.1,4573.1,4573.5,4573.8,4572.6,4573.7
202112030828,4573.1,4574.2,4572.6,4572.9,4573.7,4574.8,4573.1,4573.3
202112030829,4572.9,4572.9,4570.5,4570.5,4573.3,4573.5,4570.8,4570.8
202112030830,4570.5,4571.2,4569.7,4570.9,4570.8,4571.6,4570.3,4571.5
202112030831,4570.9,4572,4570.2,4570.4,4571.5,4572.4,4570.7,4571
202112030832,4570.5,4570.5,4569.2,4569.8,4571.1,4571.1,4569.8,4570.2
202112030833,4569.8,4571.5,4569.8,4571,4570.2,4572.1,4570.2,4571.5
202112030834,4571,4571,4569.9,4570.4,4571.5,4571.6,4570.5,4570.7
202112030835,4570.4,4571.7,4570.4,4570.8,4570.7,4572.3,4570.7,4571.3
202112030836,4570.8,4572.7,4570.8,4572.7,4571.4,4573.1,4571.3,4573.1
202112030837,4572.7,4572.8,4570.7,4571,4573.1,4573.3,4571.2,4571.6
202112030838,4571,4571,4570.1,4570.7,4571.5,4571.5,4570.6,4571.1
202112030839,4570.7,4571,4570.2,4570.4,4571.1,4571.6,4570.6,4570.8
202112030840,4570.4,4571.4,4570.2,4570.9,4570.8,4571.8,4570.8,4571.3
202112030841,4570.9,4570.9,4569.9,4570,4571.3,4571.3,4570.3,4570.3
202112030842,4570,4570.2,4568.2,4568.2,4570.3,4570.5,4568.5,4568.5
202112030843,4568.2,4568.4,4567.4,4567.7,4568.5,4568.8,4568,4568.1
202112030844,4567.7,4567.9,4566.5,4567.7,4568.1,4568.3,4566.8,4568.2
202112030845,4567.7,4569.7,4567.7,4569.2,4568.3,4570.3,4568.1,4569.6
202112030846,4569.2,4569.2,4568.3,4569.2,4569.6,4569.6,4568.8,4569.6
202112030847,4569.1,4569.5,4568,4568.2,4569.5,4570,4568.5,4568.8
202112030848,4568.2,4569,4567.2,4567.5,4568.8,4569.5,4567.7,4568.1
202112030849,4567.5,4567.7,4566.7,4567.7,4568.1,4568.3,4567.1,4568
202112030850,4567.7,4567.8,4566.9,4566.9,4568,4568.3,4567.3,4567.3
202112030851,4567,4567,4563.4,4564.1,4567.4,4567.5,4563.9,4564.5
202112030852,4564.1,4566.2,4563.2,4566.2,4564.5,4566.5,4563.6,4566.5
202112030853,4566.2,4566.7,4565.4,4565.5,4566.5,4567.1,4566,4566
202112030854,4565.5,4566.7,4565.5,4566.5,4566,4567,4566,4566.8
202112030855,4566.5,4567.5,4563.7,4563.7,4566.8,4568,4564.1,4564.1
202112030856,4563.7,4564.5,4561.2,4561.4,4564.1,4565,4561.6,4561.8
202112030857,4561.4,4561.9,4559.4,4561.9,4561.8,4562.3,4559.7,4562.3
202112030858,4561.9,4562.2,4560.9,4561.6,4562.3,4562.8,4561.5,4562
202112030859,4561.7,4562.2,4561.4,4561.4,4562.1,4562.7,4561.8,4562
202112030900,4561.4,4563.2,4560.7,4562.7,4562,4563.7,4561.2,4563.2
202112030901,4562.7,4563.4,4560.7,4560.9,4563.3,4563.8,4561,4561.3
202112030902,4560.9,4561.1,4556.8,4557.3,4561.3,4561.5,4557.1,4557.8
202112030903,4557.3,4558,4556.7,4557,4557.8,4558.6,4557.1,4557.5
202112030904,4557,4559.7,4556.8,4559.7,4557.5,4560,4557.3,4560
202112030905,4559.7,4560.6,4559.2,4559.9,4560,4561,4559.6,4560.3
202112030906,4559.7,4561.7,4559.7,4561.5,4560.3,4562.1,4560.1,4561.9
202112030907,4561.5,4562.5,4560.7,4560.8,4561.9,4563,4561.1,4561.2
