日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202002170800,3382,3387,3382,3387,3382.4,3387.5,3382.4,3387.3
202002170801,3387,3388.2,3386.2,3387.5,3387.3,3388.6,3386.8,3387.8
202002170802,3387.5,3387.9,3386.8,3386.9,3387.8,3388.3,3387.2,3387.2
202002170803,3386.9,3386.9,3386.4,3386.5,3387.2,3387.2,3386.8,3386.8
202002170804,3386.5,3387.4,3386.5,3387.4,3386.8,3387.8,3386.8,3387.8
202002170805,3387.4,3387.5,3386.9,3387.2,3387.8,3388,3387.3,3387.5
202002170806,3387.2,3387.2,3386.7,3386.9,3387.5,3387.5,3387.1,3387.3
202002170807,3386.9,3387,3386.7,3386.8,3387.3,3387.3,3387,3387.1
202002170808,3386.7,3386.9,3386.7,3386.8,3387,3387.3,3387,3387.2
202002170809,3386.7,3387.2,3386.7,3387,3387.1,3387.6,3387.1,3387.4
202002170810,3387,3387,3386.2,3386.3,3387.4,3387.4,3386.7,3386.7
202002170811,3386.3,3386.8,3386.2,3386.8,3386.7,3387.3,3386.6,3387.1
202002170812,3386.8,3386.9,3386.4,3386.9,3387.1,3387.3,3386.8,3387.2
202002170813,3386.9,3387,3386.7,3387,3387.2,3387.3,3387.2,3387.3
202002170814,3387,3387,3386.7,3386.9,3387.3,3387.4,3387,3387.2
202002170815,3387,3387.2,3387,3387.2,3387.3,3387.6,3387.3,3387.5
202002170816,3387.2,3388.1,3387.2,3388,3387.5,3388.5,3387.5,3388.5
202002170817,3388,3388,3387.2,3387.4,3388.5,3388.5,3387.7,3387.8
202002170818,3387.3,3387.4,3387.2,3387.4,3387.7,3387.8,3387.6,3387.7
202002170819,3387.5,3387.5,3387.4,3387.5,3388,3388,3387.8,3387.8
202002170820,3387.5,3387.5,3386.5,3386.5,3387.8,3387.8,3386.8,3386.8
202002170821,3386.5,3386.7,3386.4,3386.4,3386.8,3387.1,3386.8,3386.8
202002170822,3386.4,3386.8,3386.2,3386.7,3386.8,3387.3,3386.7,3387.1
202002170823,3386.8,3386.9,3386.7,3386.8,3387.2,3387.3,3387,3387.2
202002170824,3386.9,3387,3386.7,3386.9,3387.3,3387.4,3387.1,3387.2
202002170825,3386.9,3387.3,3386.7,3387.3,3387.2,3387.8,3387,3387.6
202002170826,3387.3,3387.4,3387.2,3387.3,3387.7,3387.8,3387.6,3387.7
202002170827,3387.3,3387.6,3387.2,3387.4,3387.7,3388,3387.7,3388
202002170828,3387.4,3388.4,3387.4,3387.9,3388,3388.8,3387.9,3388.3
202002170829,3387.9,3388.2,3387.8,3388,3388.3,3388.6,3388.1,3388.3
202002170830,3388,3388,3387.5,3387.5,3388.3,3388.3,3387.8,3388
202002170831,3387.4,3387.9,3387.4,3387.8,3388,3388.3,3387.8,3388.2
202002170832,3387.8,3388,3387.6,3387.7,3388.2,3388.3,3388,3388
202002170833,3387.7,3388.1,3387.5,3388,3388,3388.5,3387.9,3388.3
202002170834,3388,3388.2,3387.9,3387.9,3388.3,3388.5,3388.3,3388.5
202002170835,3388,3388,3387.7,3387.8,3388.4,3388.4,3388.1,3388.1
202002170836,3387.7,3387.7,3387.4,3387.4,3388,3388,3387.7,3387.7
202002170837,3387.4,3388.1,3387.2,3387.9,3387.7,3388.5,3387.5,3388.2
202002170838,3387.9,3388.1,3387.9,3388.1,3388.2,3388.5,3388.2,3388.4
202002170839,3388.1,3389,3388.1,3389,3388.4,3389.4,3388.4,3389.4
202002170840,3389,3389,3388.2,3388.5,3389.4,3389.4,3388.6,3388.8
