日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202011230800,3546.4,3551.2,3546.4,3549.1,3546.7,3551.8,3546.7,3549.5
202011230801,3549.1,3549.1,3546.3,3547.2,3549.5,3549.5,3546.8,3547.8
202011230802,3547.2,3549.2,3545.2,3549.2,3547.8,3549.6,3545.8,3549.6
202011230803,3548.8,3549.7,3547.6,3549.2,3549.4,3550.2,3548,3549.8
202011230804,3549.3,3552.2,3549.3,3551.5,3549.8,3552.7,3549.8,3552.1
202011230805,3551.5,3554.3,3550.6,3553.9,3552.1,3554.8,3551.2,3554.5
202011230806,3553.9,3554.5,3553.4,3554.2,3554.5,3555,3554,3554.7
202011230807,3554.1,3554.3,3552.5,3553.5,3554.7,3554.8,3553,3554.1
202011230808,3553.5,3555,3553.5,3555,3554.1,3555.6,3554.1,3555.6
202011230809,3555,3555.9,3554.9,3555.6,3555.6,3556.4,3555.3,3556.1
202011230810,3555.5,3555.5,3554.3,3554.5,3556.1,3556.1,3554.8,3555
202011230811,3554.5,3554.6,3554,3554.3,3555,3555.1,3554.5,3554.7
202011230812,3554.3,3554.3,3551.6,3553.6,3554.7,3554.7,3552.1,3554
202011230813,3553.6,3553.6,3552.1,3552.4,3554,3554,3552.7,3552.8
202011230814,3552.5,3553,3552.3,3552.5,3552.9,3553.5,3552.7,3553
202011230815,3552.5,3553.6,3552.4,3553.6,3553,3554,3552.9,3553.9
202011230816,3553.7,3553.7,3552.1,3552.1,3554,3554,3552.6,3552.7
202011230817,3552.2,3552.2,3550.3,3550.9,3552.7,3552.7,3550.8,3551.4
202011230818,3550.9,3551.4,3550.2,3550.6,3551.4,3551.8,3550.8,3551
202011230819,3550.6,3550.7,3549.6,3550.5,3551,3551.1,3550.1,3551.1
202011230820,3550.5,3552.7,3550.5,3552.1,3551.1,3553.1,3551,3552.7
202011230821,3552.1,3552.2,3551.3,3551.4,3552.7,3552.8,3551.7,3552
202011230822,3551.4,3551.5,3550.4,3550.9,3552,3552.1,3550.8,3551.3
202011230823,3550.9,3551.1,3550.4,3550.5,3551.3,3551.7,3550.8,3551.1
202011230824,3550.5,3551.3,3550.4,3551.2,3551.1,3551.9,3550.7,3551.7
202011230825,3551.2,3552.6,3550.9,3552.4,3551.7,3553.3,3551.4,3553
202011230826,3552.4,3552.5,3551.9,3552.1,3553,3553.1,3552.4,3552.5
202011230827,3552.1,3553,3552.1,3552.2,3552.5,3553.5,3552.5,3552.7
202011230828,3552.2,3552.2,3551.6,3552,3552.7,3552.7,3552,3552.4
202011230829,3552,3552.5,3551.9,3551.9,3552.4,3553,3552.2,3552.3
202011230830,3551.9,3552.1,3551.4,3551.9,3552.3,3552.6,3551.8,3552.3
202011230831,3551.8,3552.5,3551.8,3552,3552.3,3553,3552.3,3552.5
202011230832,3552,3552,3551.3,3551.5,3552.5,3552.6,3551.8,3551.8
202011230833,3551.5,3551.5,3550.2,3550.6,3551.8,3551.9,3550.8,3551
202011230834,3550.6,3550.6,3549.7,3550,3551,3551.1,3550.3,3550.4
202011230835,3549.9,3551.3,3549.9,3550.8,3550.3,3551.8,3550.3,3551.3
202011230836,3550.8,3551,3550.4,3550.7,3551.3,3551.6,3551,3551.1
202011230837,3550.7,3551.5,3550.5,3551.5,3551.1,3552,3551,3551.9
202011230838,3551.5,3552.9,3551.4,3552.7,3551.9,3553.5,3551.9,3553
202011230839,3552.7,3552.7,3551.6,3551.7,3553,3553,3552,3552
202011230840,3551.7,3551.7,3550,3550.5,3552,3552.1,3550.6,3551
