日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202010090700,3446.7,3449.9,3445.9,3448,3447.2,3450.5,3446.6,3448.6
202010090701,3448,3449.1,3447.4,3448,3448.5,3449.6,3447.9,3448.4
202010090702,3447.6,3449.2,3447.4,3449,3448,3449.6,3448,3449.4
202010090703,3449,3450.2,3449,3449.9,3449.4,3450.6,3449.4,3450.3
202010090704,3449.9,3451.7,3449.7,3450.9,3450.3,3452,3450.1,3451.3
202010090705,3450.8,3450.8,3450.2,3450.4,3451.2,3451.3,3450.7,3450.7
202010090706,3450.4,3450.5,3449.2,3449.4,3450.7,3450.8,3449.6,3449.8
202010090707,3449.4,3450,3449.3,3450,3449.8,3450.3,3449.7,3450.3
202010090708,3450,3450,3449.4,3449.6,3450.3,3450.3,3449.7,3450
202010090709,3449.6,3449.7,3449.2,3449.3,3450,3450,3449.7,3449.7
202010090710,3449.3,3449.5,3449.2,3449.4,3449.7,3449.9,3449.5,3449.8
202010090711,3449.4,3450.2,3449.3,3450.2,3449.8,3450.6,3449.8,3450.5
202010090712,3450.2,3451.6,3450.1,3451.5,3450.5,3452.1,3450.5,3451.9
202010090713,3451.4,3451.5,3450.5,3451.2,3451.8,3451.8,3451,3451.7
202010090714,3451.2,3451.2,3450.9,3450.9,3451.7,3451.8,3451.3,3451.3
202010090715,3450.9,3451.2,3450.7,3451.2,3451.3,3451.6,3451,3451.6
202010090716,3451.2,3451.5,3451.2,3451.4,3451.6,3452,3451.6,3451.7
202010090717,3451.4,3451.4,3450,3450.6,3451.7,3451.8,3450.3,3451
202010090718,3450.6,3452,3450.4,3451.4,3451,3452.5,3450.9,3451.8
202010090719,3451.4,3453.8,3451.2,3452.3,3451.8,3454.2,3451.5,3452.8
202010090720,3452.3,3452.7,3452,3452.1,3452.8,3453.1,3452.3,3452.5
202010090721,3452.1,3452.4,3451.8,3451.9,3452.5,3452.8,3452.2,3452.2
202010090722,3451.9,3452.2,3451.9,3452,3452.2,3452.6,3452.2,3452.3
202010090723,3452,3452.3,3451.8,3452.1,3452.3,3452.8,3452.1,3452.5
202010090724,3452.2,3452.3,3452,3452.2,3452.6,3452.7,3452.5,3452.6
202010090725,3452.2,3452.8,3451.9,3452.7,3452.6,3453.3,3452.3,3453.3
202010090726,3452.7,3452.8,3452.7,3452.8,3453.3,3453.3,3453,3453.1
202010090727,3452.7,3453,3452.5,3453,3453,3453.5,3453,3453.4
202010090728,3453,3453.4,3452.7,3453.2,3453.4,3453.8,3453.3,3453.8
202010090729,3453.2,3453.5,3453.2,3453.5,3453.8,3454,3453.5,3453.8
202010090730,3453.5,3453.5,3452.7,3453.5,3453.8,3454,3453.3,3453.8
202010090731,3453.5,3453.5,3453,3453.2,3453.8,3453.8,3453.3,3453.6
202010090732,3453.2,3453.5,3452.9,3453.4,3453.6,3453.8,3453.3,3453.8
202010090733,3453.4,3453.4,3452.9,3453.2,3453.8,3453.8,3453.3,3453.6
202010090734,3453.2,3454,3453.2,3453.4,3453.6,3454.3,3453.6,3453.7
202010090735,3453.4,3453.4,3452.7,3452.7,3453.7,3453.8,3453,3453.3
202010090736,3452.9,3452.9,3452.2,3452.4,3453.2,3453.3,3452.7,3452.8
202010090737,3452.4,3452.6,3452,3452.5,3452.8,3453,3452.3,3452.8
202010090738,3452.5,3452.5,3451.7,3451.9,3452.8,3452.8,3452.2,3452.2
202010090739,3451.9,3452.4,3451.9,3452.4,3452.2,3452.7,3452.2,3452.7
202010090740,3452.4,3452.4,3452.2,3452.3,3452.7,3452.8,3452.5,3452.6
202010090741,3452.3,3452.3,3452,3452,3452.6,3452.6,3452.3,3452.3
202010090742,3451.9,3452.2,3451.9,3452.2,3452.2,3452.5,3452.2,3452.5
202010090743,3452.2,3452.2,3452,3452,3452.5,3452.5,3452.3,3452.3
202010090744,3452,3452,3451.8,3452,3452.3,3452.3,3452.1,3452.3
202010090745,3452,3452.4,3451.4,3451.5,3452.3,3452.8,3452,3452.1
202010090746,3451.5,3451.7,3451,3451.2,3452.1,3452.1,3451.4,3451.5
202010090747,3451.2,3451.7,3451,3451.7,3451.5,3452.3,3451.5,3452
202010090748,3451.7,3451.7,3451.3,3451.4,3452,3452.1,3451.8,3451.8
202010090749,3451.4,3452.2,3451.2,3452,3451.8,3452.5,3451.7,3452.4
202010090750,3451.9,3452.8,3451.9,3452.8,3452.3,3453.1,3452.3,3453.1
202010090751,3452.7,3453.5,3452.7,3453.5,3453,3453.8,3453,3453.8
202010090752,3453.5,3454,3453.4,3454,3453.8,3454.6,3453.8,3454.5
202010090753,3454,3455.7,3454,3454.5,3454.5,3456.3,3454.5,3454.8
202010090754,3454.4,3454.7,3454,3454.7,3454.7,3455.2,3454.5,3455.2
202010090755,3454.7,3454.7,3454.4,3454.4,3455.2,3455.2,3454.7,3454.7
202010090756,3454.5,3454.5,3454.2,3454.2,3454.8,3454.8,3454.5,3454.5
202010090757,3454.2,3454.2,3453.9,3454.2,3454.5,3454.5,3454.3,3454.5
202010090758,3454.3,3454.3,3454,3454,3454.6,3454.6,3454.3,3454.3
202010090759,3454,3454,3452,3452.6,3454.3,3454.3,3452.4,3452.9
202010090800,3452.6,3452.7,3451.9,3452.7,3452.9,3453.2,3452.3,3453.1
202010090801,3452.7,3452.7,3452,3452.4,3453,3453.1,3452.3,3452.8
202010090802,3452.4,3453.7,3452.3,3453.7,3452.8,3454,3452.7,3454
202010090803,3453.7,3454,3453.4,3454,3454,3454.5,3453.9,3454.4
202010090804,3454,3454.1,3453.6,3453.9,3454.4,3454.5,3454,3454.3
202010090805,3453.9,3453.9,3453.7,3453.8,3454.3,3454.3,3454,3454.1
202010090806,3453.8,3453.9,3452.6,3453,3454.1,3454.3,3453,3453.3
202010090807,3453,3453.4,3452.5,3452.9,3453.3,3453.8,3453,3453.2
202010090808,3452.9,3453,3452.5,3452.9,3453.2,3453.3,3453,3453.2
202010090809,3452.9,3453,3452.8,3453,3453.2,3453.3,3453.2,3453.3
202010090810,3453,3453.1,3452.7,3452.7,3453.3,3453.5,3453,3453
202010090811,3452.7,3452.7,3451.7,3452.2,3453,3453,3452.2,3452.5
202010090812,3452.2,3453.2,3452,3452.7,3452.5,3453.5,3452.5,3453.3
202010090813,3452.7,3453.2,3452.5,3452.9,3453.3,3453.6,3453,3453.3
202010090814,3452.9,3453.2,3452.9,3453,3453.3,3453.6,3453.3,3453.3
202010090815,3453,3453.6,3453,3453.2,3453.3,3454.1,3453.3,3453.7
202010090816,3453.2,3453.5,3453.2,3453.2,3453.5,3453.8,3453.5,3453.5
202010090817,3453.2,3453.3,3453.2,3453.2,3453.5,3453.7,3453.5,3453.5
202010090818,3453.2,3453.2,3451.8,3451.8,3453.5,3453.5,3452.1,3452.1
